# Generated using a python script
# Convert to a table using `libime_tabledict`
#
# if you wanna use this as your IME, follow the install instructions at https://github.com/mun-luna/nasin-mun
# but make sure to delete the `./nasin-mun/` directory, and rename `./nasin-mun-combos/` to `./nasin-mun/`
# BEFORE using the nix module or the install script
# keep in mind that this is more a proof of concept than anything else, many improvements could be made
#
# all keys are generated in the format of "KeyOne-KeyTwo", if you need to use a particular joiner, navigate using the hint

KeyCode=ptkmnswljaeiou-
Length=15

[Data]
a 󱤀
open-su 󱥇‍󱦦
open-a 󱥇󱦕󱤀
open-akesi 󱥇󱦕󱤁
open-ala 󱥇󱦕󱤂
open-alasa 󱥇󱦕󱤃
open-ale 󱥇󱦕󱤄
open-anpa 󱥇󱦕󱤅
open-ante 󱥇󱦕󱤆
open-anu 󱥇󱦕󱤇
open-awen 󱥇󱦕󱤈
open-e 󱥇󱦕󱤉
open-en 󱥇󱦕󱤊
open-esun 󱥇󱦕󱤋
open-ijo 󱥇󱦕󱤌
open-ike 󱥇󱦕󱤍
open-ilo 󱥇󱦕󱤎
open-insa 󱥇󱦕󱤏
open-jaki 󱥇󱦕󱤐
open-jan 󱥇󱦕󱤑
open-jelo 󱥇󱦕󱤒
open-jo 󱥇󱦕󱤓
open-kala 󱥇󱦕󱤔
open-kalama 󱥇󱦕󱤕
open-kama 󱥇󱦕󱤖
open-kasi 󱥇󱦕󱤗
open-ken 󱥇󱦕󱤘
open-kepeken 󱥇󱦕󱤙
open-kili 󱥇󱦕󱤚
open-kin 󱥇󱦕󱥹
open-kiwen 󱥇󱦕󱤛
open-ko 󱥇󱦕󱤜
open-kon 󱥇󱦕󱤝
open-kule 󱥇󱦕󱤞
open-kulupu 󱥇󱦕󱤟
open-kute 󱥇󱦕󱤠
open-la 󱥇󱦕󱤡
open-lape 󱥇󱦕󱤢
open-laso 󱥇󱦕󱤣
open-lawa 󱥇󱦕󱤤
open-len 󱥇󱦕󱤥
open-lete 󱥇󱦕󱤦
open-li 󱥇󱦕󱤧
open-lili 󱥇󱦕󱤨
open-linja 󱥇󱦕󱤩
open-lipu 󱥇󱦕󱤪
open-loje 󱥇󱦕󱤫
open-lon 󱥇󱦕󱤬
open-luka 󱥇󱦕󱤭
open-lukin 󱥇󱦕󱤮
open-lupa 󱥇󱦕󱤯
open-ma 󱥇󱦕󱤰
open-mama 󱥇󱦕󱤱
open-mani 󱥇󱦕󱤲
open-meli 󱥇󱦕󱤳
open-mi 󱥇󱦕󱤴
open-mije 󱥇󱦕󱤵
open-moku 󱥇󱦕󱤶
open-moli 󱥇󱦕󱤷
open-monsi 󱥇󱦕󱤸
open-monsuta 󱥇󱦕󱥽
open-mu 󱥇󱦕󱤹
open-mun 󱥇󱦕󱤺
open-musi 󱥇󱦕󱤻
open-mute 󱥇󱦕󱤼
open-nanpa 󱥇󱦕󱤽
open-nasa 󱥇󱦕󱤾
open-nasin 󱥇󱦕󱤿
open-nena 󱥇󱦕󱥀
open-ni 󱥇󱦕󱥁
open-nimi 󱥇󱦕󱥂
open-noka 󱥇󱦕󱥃
open-o 󱥇󱦕󱥄
open-olin 󱥇󱦕󱥅
open-ona 󱥇󱦕󱥆
open-open 󱥇󱦕󱥇
open-pakala 󱥇󱦕󱥈
open-pali 󱥇󱦕󱥉
open-palisa 󱥇󱦕󱥊
open-pan 󱥇󱦕󱥋
open-pana 󱥇󱦕󱥌
open-pi 󱥇󱦕󱥍
open-pilin 󱥇󱦕󱥎
open-pimeja 󱥇󱦕󱥏
open-pini 󱥇󱦕󱥐
open-pipi 󱥇󱦕󱥑
open-poka 󱥇󱦕󱥒
open-poki 󱥇󱦕󱥓
open-pona 󱥇󱦕󱥔
open-pu 󱥇󱦕󱥕
open-sama 󱥇󱦕󱥖
open-seli 󱥇󱦕󱥗
open-selo 󱥇󱦕󱥘
open-seme 󱥇󱦕󱥙
open-sewi 󱥇󱦕󱥚
open-sijelo 󱥇󱦕󱥛
open-sike 󱥇󱦕󱥜
open-sin 󱥇󱦕󱥝
open-sina 󱥇󱦕󱥞
open-sinpin 󱥇󱦕󱥟
open-sitelen 󱥇󱦕󱥠
open-sona 󱥇󱦕󱥡
open-soweli 󱥇󱦕󱥢
open-suli 󱥇󱦕󱥣
open-suno 󱥇󱦕󱥤
open-supa 󱥇󱦕󱥥
open-suwi 󱥇󱦕󱥦
open-tan 󱥇󱦕󱥧
open-taso 󱥇󱦕󱥨
open-tawa 󱥇󱦕󱥩
open-telo 󱥇󱦕󱥪
open-tenpo 󱥇󱦕󱥫
open-toki 󱥇󱦕󱥬
open-tomo 󱥇󱦕󱥭
open-tonsi 󱥇󱦕󱥾
open-tu 󱥇󱦕󱥮
open-unpa 󱥇󱦕󱥯
open-uta 󱥇󱦕󱥰
open-utala 󱥇󱦕󱥱
open-walo 󱥇󱦕󱥲
open-wan 󱥇󱦕󱥳
open-waso 󱥇󱦕󱥴
open-wawa 󱥇󱦕󱥵
open-weka 󱥇󱦕󱥶
open-wile 󱥇󱦕󱥷
open-kijetesantakalu 󱥇󱦕󱦀
open-kipisi 󱥇󱦕󱥻
open-ku 󱥇󱦕󱦈
open-leko 󱥇󱦕󱥼
open-misikeke 󱥇󱦕󱦇
open-n 󱥇󱦕󱦆
open-namako 󱥇󱦕󱥸
open-soko 󱥇󱦕󱦁
open-epiku 󱥇󱦕󱦃
open-jasima 󱥇󱦕󱥿
open-lanpan 󱥇󱦕󱦅
open-linluwi 󱥇󱦕󱦤
open-majuna 󱥇󱦕󱦢
open-meso 󱥇󱦕󱦂
open-oko 󱥇󱦕󱥺
open-su 󱥇󱦕󱦦
open-a 󱥇󱦖󱤀
open-akesi 󱥇󱦖󱤁
open-ala 󱥇󱦖󱤂
open-alasa 󱥇󱦖󱤃
open-ale 󱥇󱦖󱤄
open-anpa 󱥇󱦖󱤅
open-ante 󱥇󱦖󱤆
open-anu 󱥇󱦖󱤇
open-awen 󱥇󱦖󱤈
open-e 󱥇󱦖󱤉
open-en 󱥇󱦖󱤊
open-esun 󱥇󱦖󱤋
open-ijo 󱥇󱦖󱤌
open-ike 󱥇󱦖󱤍
open-ilo 󱥇󱦖󱤎
open-insa 󱥇󱦖󱤏
open-jaki 󱥇󱦖󱤐
open-jan 󱥇󱦖󱤑
open-jelo 󱥇󱦖󱤒
open-jo 󱥇󱦖󱤓
open-kala 󱥇󱦖󱤔
open-kalama 󱥇󱦖󱤕
open-kama 󱥇󱦖󱤖
open-kasi 󱥇󱦖󱤗
open-ken 󱥇󱦖󱤘
open-kepeken 󱥇󱦖󱤙
open-kili 󱥇󱦖󱤚
open-kin 󱥇󱦖󱥹
open-kiwen 󱥇󱦖󱤛
open-ko 󱥇󱦖󱤜
open-kon 󱥇󱦖󱤝
open-kule 󱥇󱦖󱤞
open-kulupu 󱥇󱦖󱤟
open-kute 󱥇󱦖󱤠
open-la 󱥇󱦖󱤡
open-lape 󱥇󱦖󱤢
open-laso 󱥇󱦖󱤣
open-lawa 󱥇󱦖󱤤
open-len 󱥇󱦖󱤥
open-lete 󱥇󱦖󱤦
open-li 󱥇󱦖󱤧
open-lili 󱥇󱦖󱤨
open-linja 󱥇󱦖󱤩
open-lipu 󱥇󱦖󱤪
open-loje 󱥇󱦖󱤫
open-lon 󱥇󱦖󱤬
open-luka 󱥇󱦖󱤭
open-lukin 󱥇󱦖󱤮
open-lupa 󱥇󱦖󱤯
open-ma 󱥇󱦖󱤰
open-mama 󱥇󱦖󱤱
open-mani 󱥇󱦖󱤲
open-meli 󱥇󱦖󱤳
open-mi 󱥇󱦖󱤴
open-mije 󱥇󱦖󱤵
open-moku 󱥇󱦖󱤶
open-moli 󱥇󱦖󱤷
open-monsi 󱥇󱦖󱤸
open-monsuta 󱥇󱦖󱥽
open-mu 󱥇󱦖󱤹
open-mun 󱥇󱦖󱤺
open-musi 󱥇󱦖󱤻
open-mute 󱥇󱦖󱤼
open-nanpa 󱥇󱦖󱤽
open-nasa 󱥇󱦖󱤾
open-nasin 󱥇󱦖󱤿
open-nena 󱥇󱦖󱥀
open-ni 󱥇󱦖󱥁
open-nimi 󱥇󱦖󱥂
open-noka 󱥇󱦖󱥃
open-o 󱥇󱦖󱥄
open-olin 󱥇󱦖󱥅
open-ona 󱥇󱦖󱥆
open-open 󱥇󱦖󱥇
open-pakala 󱥇󱦖󱥈
open-pali 󱥇󱦖󱥉
open-palisa 󱥇󱦖󱥊
open-pan 󱥇󱦖󱥋
open-pana 󱥇󱦖󱥌
open-pi 󱥇󱦖󱥍
open-pilin 󱥇󱦖󱥎
open-pimeja 󱥇󱦖󱥏
open-pini 󱥇󱦖󱥐
open-pipi 󱥇󱦖󱥑
open-poka 󱥇󱦖󱥒
open-poki 󱥇󱦖󱥓
open-pona 󱥇󱦖󱥔
open-pu 󱥇󱦖󱥕
open-sama 󱥇󱦖󱥖
open-seli 󱥇󱦖󱥗
open-selo 󱥇󱦖󱥘
open-seme 󱥇󱦖󱥙
open-sewi 󱥇󱦖󱥚
open-sijelo 󱥇󱦖󱥛
open-sike 󱥇󱦖󱥜
open-sin 󱥇󱦖󱥝
open-sina 󱥇󱦖󱥞
open-sinpin 󱥇󱦖󱥟
open-sitelen 󱥇󱦖󱥠
open-sona 󱥇󱦖󱥡
open-soweli 󱥇󱦖󱥢
open-suli 󱥇󱦖󱥣
open-suno 󱥇󱦖󱥤
open-supa 󱥇󱦖󱥥
open-suwi 󱥇󱦖󱥦
open-tan 󱥇󱦖󱥧
open-taso 󱥇󱦖󱥨
open-tawa 󱥇󱦖󱥩
open-telo 󱥇󱦖󱥪
open-tenpo 󱥇󱦖󱥫
open-toki 󱥇󱦖󱥬
open-tomo 󱥇󱦖󱥭
open-tonsi 󱥇󱦖󱥾
open-tu 󱥇󱦖󱥮
open-unpa 󱥇󱦖󱥯
open-uta 󱥇󱦖󱥰
open-utala 󱥇󱦖󱥱
open-walo 󱥇󱦖󱥲
open-wan 󱥇󱦖󱥳
open-waso 󱥇󱦖󱥴
open-wawa 󱥇󱦖󱥵
open-weka 󱥇󱦖󱥶
open-wile 󱥇󱦖󱥷
open-kijetesantakalu 󱥇󱦖󱦀
open-kipisi 󱥇󱦖󱥻
open-ku 󱥇󱦖󱦈
open-leko 󱥇󱦖󱥼
open-misikeke 󱥇󱦖󱦇
open-n 󱥇󱦖󱦆
open-namako 󱥇󱦖󱥸
open-soko 󱥇󱦖󱦁
open-epiku 󱥇󱦖󱦃
open-jasima 󱥇󱦖󱥿
open-lanpan 󱥇󱦖󱦅
open-linluwi 󱥇󱦖󱦤
open-majuna 󱥇󱦖󱦢
open-meso 󱥇󱦖󱦂
open-oko 󱥇󱦖󱥺
open-su 󱥇󱦖󱦦
pakala 󱥈
pakala-a 󱥈‍󱤀
pakala-akesi 󱥈‍󱤁
pakala-ala 󱥈‍󱤂
pakala-alasa 󱥈‍󱤃
pakala-ale 󱥈‍󱤄
pakala-anpa 󱥈‍󱤅
pakala-ante 󱥈‍󱤆
pakala-anu 󱥈‍󱤇
pakala-awen 󱥈‍󱤈
pakala-e 󱥈‍󱤉
pakala-en 󱥈‍󱤊
pakala-esun 󱥈‍󱤋
pakala-ijo 󱥈‍󱤌
pakala-ike 󱥈‍󱤍
pakala-ilo 󱥈‍󱤎
pakala-insa 󱥈‍󱤏
pakala-jaki 󱥈‍󱤐
pakala-jan 󱥈‍󱤑
pakala-jelo 󱥈‍󱤒
pakala-jo 󱥈‍󱤓
pakala-kala 󱥈‍󱤔
pakala-kalama 󱥈‍󱤕
pakala-kama 󱥈‍󱤖
pakala-kasi 󱥈‍󱤗
pakala-ken 󱥈‍󱤘
pakala-kepeken 󱥈‍󱤙
pakala-kili 󱥈‍󱤚
pakala-kin 󱥈‍󱥹
pakala-kiwen 󱥈‍󱤛
pakala-ko 󱥈‍󱤜
pakala-kon 󱥈‍󱤝
pakala-kule 󱥈‍󱤞
pakala-kulupu 󱥈‍󱤟
pakala-kute 󱥈‍󱤠
pakala-la 󱥈‍󱤡
pakala-lape 󱥈‍󱤢
pakala-laso 󱥈‍󱤣
pakala-lawa 󱥈‍󱤤
pakala-len 󱥈‍󱤥
pakala-lete 󱥈‍󱤦
pakala-li 󱥈‍󱤧
pakala-lili 󱥈‍󱤨
pakala-linja 󱥈‍󱤩
pakala-lipu 󱥈‍󱤪
pakala-loje 󱥈‍󱤫
pakala-lon 󱥈‍󱤬
pakala-luka 󱥈‍󱤭
pakala-lukin 󱥈‍󱤮
pakala-lupa 󱥈‍󱤯
pakala-ma 󱥈‍󱤰
pakala-mama 󱥈‍󱤱
pakala-mani 󱥈‍󱤲
pakala-meli 󱥈‍󱤳
pakala-mi 󱥈‍󱤴
pakala-mije 󱥈‍󱤵
pakala-moku 󱥈‍󱤶
pakala-moli 󱥈‍󱤷
pakala-monsi 󱥈‍󱤸
pakala-monsuta 󱥈‍󱥽
pakala-mu 󱥈‍󱤹
pakala-mun 󱥈‍󱤺
pakala-musi 󱥈‍󱤻
pakala-mute 󱥈‍󱤼
pakala-nanpa 󱥈‍󱤽
pakala-nasa 󱥈‍󱤾
pakala-nasin 󱥈‍󱤿
pakala-nena 󱥈‍󱥀
pakala-ni 󱥈‍󱥁
pakala-nimi 󱥈‍󱥂
pakala-noka 󱥈‍󱥃
pakala-o 󱥈‍󱥄
pakala-olin 󱥈‍󱥅
pakala-ona 󱥈‍󱥆
pakala-open 󱥈‍󱥇
pakala-pakala 󱥈‍󱥈
pakala-pali 󱥈‍󱥉
pakala-palisa 󱥈‍󱥊
pakala-pan 󱥈‍󱥋
pakala-pana 󱥈‍󱥌
pakala-pi 󱥈‍󱥍
pakala-pilin 󱥈‍󱥎
pakala-pimeja 󱥈‍󱥏
pakala-pini 󱥈‍󱥐
pakala-pipi 󱥈‍󱥑
pakala-poka 󱥈‍󱥒
pakala-poki 󱥈‍󱥓
pakala-pona 󱥈‍󱥔
pakala-pu 󱥈‍󱥕
pakala-sama 󱥈‍󱥖
pakala-seli 󱥈‍󱥗
pakala-selo 󱥈‍󱥘
pakala-seme 󱥈‍󱥙
pakala-sewi 󱥈‍󱥚
pakala-sijelo 󱥈‍󱥛
pakala-sike 󱥈‍󱥜
pakala-sin 󱥈‍󱥝
pakala-sina 󱥈‍󱥞
pakala-sinpin 󱥈‍󱥟
pakala-sitelen 󱥈‍󱥠
pakala-sona 󱥈‍󱥡
pakala-soweli 󱥈‍󱥢
pakala-suli 󱥈‍󱥣
pakala-suno 󱥈‍󱥤
pakala-supa 󱥈‍󱥥
pakala-suwi 󱥈‍󱥦
pakala-tan 󱥈‍󱥧
pakala-taso 󱥈‍󱥨
pakala-tawa 󱥈‍󱥩
pakala-telo 󱥈‍󱥪
pakala-tenpo 󱥈‍󱥫
pakala-toki 󱥈‍󱥬
pakala-tomo 󱥈‍󱥭
pakala-tonsi 󱥈‍󱥾
pakala-tu 󱥈‍󱥮
pakala-unpa 󱥈‍󱥯
pakala-uta 󱥈‍󱥰
pakala-utala 󱥈‍󱥱
pakala-walo 󱥈‍󱥲
pakala-wan 󱥈‍󱥳
pakala-waso 󱥈‍󱥴
pakala-wawa 󱥈‍󱥵
pakala-weka 󱥈‍󱥶
pakala-wile 󱥈‍󱥷
pakala-kijetesantakalu 󱥈‍󱦀
pakala-kipisi 󱥈‍󱥻
pakala-ku 󱥈‍󱦈
pakala-leko 󱥈‍󱥼
pakala-misikeke 󱥈‍󱦇
pakala-n 󱥈‍󱦆
pakala-namako 󱥈‍󱥸
pakala-soko 󱥈‍󱦁
pakala-epiku 󱥈‍󱦃
pakala-jasima 󱥈‍󱥿
pakala-lanpan 󱥈‍󱦅
pakala-linluwi 󱥈‍󱦤
pakala-majuna 󱥈‍󱦢
pakala-meso 󱥈‍󱦂
pakala-oko 󱥈‍󱥺
pakala-su 󱥈‍󱦦
pakala-a 󱥈󱦕󱤀
pakala-akesi 󱥈󱦕󱤁
pakala-ala 󱥈󱦕󱤂
pakala-alasa 󱥈󱦕󱤃
pakala-ale 󱥈󱦕󱤄
pakala-anpa 󱥈󱦕󱤅
pakala-ante 󱥈󱦕󱤆
pakala-anu 󱥈󱦕󱤇
pakala-awen 󱥈󱦕󱤈
pakala-e 󱥈󱦕󱤉
pakala-en 󱥈󱦕󱤊
pakala-esun 󱥈󱦕󱤋
pakala-ijo 󱥈󱦕󱤌
pakala-ike 󱥈󱦕󱤍
pakala-ilo 󱥈󱦕󱤎
pakala-insa 󱥈󱦕󱤏
pakala-jaki 󱥈󱦕󱤐
pakala-jan 󱥈󱦕󱤑
pakala-jelo 󱥈󱦕󱤒
pakala-jo 󱥈󱦕󱤓
pakala-kala 󱥈󱦕󱤔
pakala-kalama 󱥈󱦕󱤕
pakala-kama 󱥈󱦕󱤖
pakala-kasi 󱥈󱦕󱤗
pakala-ken 󱥈󱦕󱤘
pakala-kepeken 󱥈󱦕󱤙
pakala-kili 󱥈󱦕󱤚
pakala-kin 󱥈󱦕󱥹
pakala-kiwen 󱥈󱦕󱤛
pakala-ko 󱥈󱦕󱤜
pakala-kon 󱥈󱦕󱤝
pakala-kule 󱥈󱦕󱤞
pakala-kulupu 󱥈󱦕󱤟
pakala-kute 󱥈󱦕󱤠
pakala-la 󱥈󱦕󱤡
pakala-lape 󱥈󱦕󱤢
pakala-laso 󱥈󱦕󱤣
pakala-lawa 󱥈󱦕󱤤
pakala-len 󱥈󱦕󱤥
pakala-lete 󱥈󱦕󱤦
pakala-li 󱥈󱦕󱤧
pakala-lili 󱥈󱦕󱤨
pakala-linja 󱥈󱦕󱤩
pakala-lipu 󱥈󱦕󱤪
pakala-loje 󱥈󱦕󱤫
pakala-lon 󱥈󱦕󱤬
pakala-luka 󱥈󱦕󱤭
pakala-lukin 󱥈󱦕󱤮
pakala-lupa 󱥈󱦕󱤯
pakala-ma 󱥈󱦕󱤰
pakala-mama 󱥈󱦕󱤱
pakala-mani 󱥈󱦕󱤲
pakala-meli 󱥈󱦕󱤳
pakala-mi 󱥈󱦕󱤴
pakala-mije 󱥈󱦕󱤵
pakala-moku 󱥈󱦕󱤶
pakala-moli 󱥈󱦕󱤷
pakala-monsi 󱥈󱦕󱤸
pakala-monsuta 󱥈󱦕󱥽
pakala-mu 󱥈󱦕󱤹
pakala-mun 󱥈󱦕󱤺
pakala-musi 󱥈󱦕󱤻
pakala-mute 󱥈󱦕󱤼
pakala-nanpa 󱥈󱦕󱤽
pakala-nasa 󱥈󱦕󱤾
pakala-nasin 󱥈󱦕󱤿
pakala-nena 󱥈󱦕󱥀
pakala-ni 󱥈󱦕󱥁
pakala-nimi 󱥈󱦕󱥂
pakala-noka 󱥈󱦕󱥃
pakala-o 󱥈󱦕󱥄
pakala-olin 󱥈󱦕󱥅
pakala-ona 󱥈󱦕󱥆
pakala-open 󱥈󱦕󱥇
pakala-pakala 󱥈󱦕󱥈
pakala-pali 󱥈󱦕󱥉
pakala-palisa 󱥈󱦕󱥊
pakala-pan 󱥈󱦕󱥋
pakala-pana 󱥈󱦕󱥌
pakala-pi 󱥈󱦕󱥍
pakala-pilin 󱥈󱦕󱥎
pakala-pimeja 󱥈󱦕󱥏
pakala-pini 󱥈󱦕󱥐
pakala-pipi 󱥈󱦕󱥑
pakala-poka 󱥈󱦕󱥒
pakala-poki 󱥈󱦕󱥓
pakala-pona 󱥈󱦕󱥔
pakala-pu 󱥈󱦕󱥕
pakala-sama 󱥈󱦕󱥖
pakala-seli 󱥈󱦕󱥗
pakala-selo 󱥈󱦕󱥘
pakala-seme 󱥈󱦕󱥙
pakala-sewi 󱥈󱦕󱥚
pakala-sijelo 󱥈󱦕󱥛
pakala-sike 󱥈󱦕󱥜
pakala-sin 󱥈󱦕󱥝
pakala-sina 󱥈󱦕󱥞
pakala-sinpin 󱥈󱦕󱥟
pakala-sitelen 󱥈󱦕󱥠
pakala-sona 󱥈󱦕󱥡
pakala-soweli 󱥈󱦕󱥢
pakala-suli 󱥈󱦕󱥣
pakala-suno 󱥈󱦕󱥤
pakala-supa 󱥈󱦕󱥥
pakala-suwi 󱥈󱦕󱥦
pakala-tan 󱥈󱦕󱥧
pakala-taso 󱥈󱦕󱥨
pakala-tawa 󱥈󱦕󱥩
pakala-telo 󱥈󱦕󱥪
pakala-tenpo 󱥈󱦕󱥫
pakala-toki 󱥈󱦕󱥬
pakala-tomo 󱥈󱦕󱥭
pakala-tonsi 󱥈󱦕󱥾
pakala-tu 󱥈󱦕󱥮
pakala-unpa 󱥈󱦕󱥯
pakala-uta 󱥈󱦕󱥰
pakala-utala 󱥈󱦕󱥱
pakala-walo 󱥈󱦕󱥲
pakala-wan 󱥈󱦕󱥳
pakala-waso 󱥈󱦕󱥴
pakala-wawa 󱥈󱦕󱥵
pakala-weka 󱥈󱦕󱥶
pakala-wile 󱥈󱦕󱥷
pakala-kijetesantakalu 󱥈󱦕󱦀
pakala-kipisi 󱥈󱦕󱥻
pakala-ku 󱥈󱦕󱦈
pakala-leko 󱥈󱦕󱥼
pakala-misikeke 󱥈󱦕󱦇
pakala-n 󱥈󱦕󱦆
pakala-namako 󱥈󱦕󱥸
pakala-soko 󱥈󱦕󱦁
pakala-epiku 󱥈󱦕󱦃
pakala-jasima 󱥈󱦕󱥿
pakala-lanpan 󱥈󱦕󱦅
pakala-linluwi 󱥈󱦕󱦤
pakala-majuna 󱥈󱦕󱦢
pakala-meso 󱥈󱦕󱦂
pakala-oko 󱥈󱦕󱥺
pakala-su 󱥈󱦕󱦦
pakala-a 󱥈󱦖󱤀
pakala-akesi 󱥈󱦖󱤁
pakala-ala 󱥈󱦖󱤂
pakala-alasa 󱥈󱦖󱤃
pakala-ale 󱥈󱦖󱤄
pakala-anpa 󱥈󱦖󱤅
pakala-ante 󱥈󱦖󱤆
pakala-anu 󱥈󱦖󱤇
pakala-awen 󱥈󱦖󱤈
pakala-e 󱥈󱦖󱤉
pakala-en 󱥈󱦖󱤊
pakala-esun 󱥈󱦖󱤋
pakala-ijo 󱥈󱦖󱤌
pakala-ike 󱥈󱦖󱤍
pakala-ilo 󱥈󱦖󱤎
pakala-insa 󱥈󱦖󱤏
pakala-jaki 󱥈󱦖󱤐
pakala-jan 󱥈󱦖󱤑
pakala-jelo 󱥈󱦖󱤒
pakala-jo 󱥈󱦖󱤓
pakala-kala 󱥈󱦖󱤔
pakala-kalama 󱥈󱦖󱤕
pakala-kama 󱥈󱦖󱤖
pakala-kasi 󱥈󱦖󱤗
pakala-ken 󱥈󱦖󱤘
pakala-kepeken 󱥈󱦖󱤙
pakala-kili 󱥈󱦖󱤚
pakala-kin 󱥈󱦖󱥹
pakala-kiwen 󱥈󱦖󱤛
pakala-ko 󱥈󱦖󱤜
pakala-kon 󱥈󱦖󱤝
pakala-kule 󱥈󱦖󱤞
pakala-kulupu 󱥈󱦖󱤟
pakala-kute 󱥈󱦖󱤠
pakala-la 󱥈󱦖󱤡
pakala-lape 󱥈󱦖󱤢
pakala-laso 󱥈󱦖󱤣
pakala-lawa 󱥈󱦖󱤤
pakala-len 󱥈󱦖󱤥
pakala-lete 󱥈󱦖󱤦
pakala-li 󱥈󱦖󱤧
pakala-lili 󱥈󱦖󱤨
pakala-linja 󱥈󱦖󱤩
pakala-lipu 󱥈󱦖󱤪
pakala-loje 󱥈󱦖󱤫
pakala-lon 󱥈󱦖󱤬
pakala-luka 󱥈󱦖󱤭
pakala-lukin 󱥈󱦖󱤮
pakala-lupa 󱥈󱦖󱤯
pakala-ma 󱥈󱦖󱤰
pakala-mama 󱥈󱦖󱤱
pakala-mani 󱥈󱦖󱤲
pakala-meli 󱥈󱦖󱤳
pakala-mi 󱥈󱦖󱤴
pakala-mije 󱥈󱦖󱤵
pakala-moku 󱥈󱦖󱤶
pakala-moli 󱥈󱦖󱤷
pakala-monsi 󱥈󱦖󱤸
pakala-monsuta 󱥈󱦖󱥽
pakala-mu 󱥈󱦖󱤹
pakala-mun 󱥈󱦖󱤺
pakala-musi 󱥈󱦖󱤻
pakala-mute 󱥈󱦖󱤼
pakala-nanpa 󱥈󱦖󱤽
pakala-nasa 󱥈󱦖󱤾
pakala-nasin 󱥈󱦖󱤿
pakala-nena 󱥈󱦖󱥀
pakala-ni 󱥈󱦖󱥁
pakala-nimi 󱥈󱦖󱥂
pakala-noka 󱥈󱦖󱥃
pakala-o 󱥈󱦖󱥄
pakala-olin 󱥈󱦖󱥅
pakala-ona 󱥈󱦖󱥆
pakala-open 󱥈󱦖󱥇
pakala-pakala 󱥈󱦖󱥈
pakala-pali 󱥈󱦖󱥉
pakala-palisa 󱥈󱦖󱥊
pakala-pan 󱥈󱦖󱥋
pakala-pana 󱥈󱦖󱥌
pakala-pi 󱥈󱦖󱥍
pakala-pilin 󱥈󱦖󱥎
pakala-pimeja 󱥈󱦖󱥏
pakala-pini 󱥈󱦖󱥐
pakala-pipi 󱥈󱦖󱥑
pakala-poka 󱥈󱦖󱥒
pakala-poki 󱥈󱦖󱥓
pakala-pona 󱥈󱦖󱥔
pakala-pu 󱥈󱦖󱥕
pakala-sama 󱥈󱦖󱥖
pakala-seli 󱥈󱦖󱥗
pakala-selo 󱥈󱦖󱥘
pakala-seme 󱥈󱦖󱥙
pakala-sewi 󱥈󱦖󱥚
pakala-sijelo 󱥈󱦖󱥛
pakala-sike 󱥈󱦖󱥜
pakala-sin 󱥈󱦖󱥝
pakala-sina 󱥈󱦖󱥞
pakala-sinpin 󱥈󱦖󱥟
pakala-sitelen 󱥈󱦖󱥠
pakala-sona 󱥈󱦖󱥡
pakala-soweli 󱥈󱦖󱥢
pakala-suli 󱥈󱦖󱥣
pakala-suno 󱥈󱦖󱥤
pakala-supa 󱥈󱦖󱥥
pakala-suwi 󱥈󱦖󱥦
pakala-tan 󱥈󱦖󱥧
pakala-taso 󱥈󱦖󱥨
pakala-tawa 󱥈󱦖󱥩
pakala-telo 󱥈󱦖󱥪
pakala-tenpo 󱥈󱦖󱥫
pakala-toki 󱥈󱦖󱥬
pakala-tomo 󱥈󱦖󱥭
pakala-tonsi 󱥈󱦖󱥾
pakala-tu 󱥈󱦖󱥮
pakala-unpa 󱥈󱦖󱥯
pakala-uta 󱥈󱦖󱥰
pakala-utala 󱥈󱦖󱥱
pakala-walo 󱥈󱦖󱥲
pakala-wan 󱥈󱦖󱥳
pakala-waso 󱥈󱦖󱥴
pakala-wawa 󱥈󱦖󱥵
pakala-weka 󱥈󱦖󱥶
pakala-wile 󱥈󱦖󱥷
pakala-kijetesantakalu 󱥈󱦖󱦀
pakala-kipisi 󱥈󱦖󱥻
pakala-ku 󱥈󱦖󱦈
pakala-leko 󱥈󱦖󱥼
pakala-misikeke 󱥈󱦖󱦇
pakala-n 󱥈󱦖󱦆
pakala-namako 󱥈󱦖󱥸
pakala-soko 󱥈󱦖󱦁
pakala-epiku 󱥈󱦖󱦃
pakala-jasima 󱥈󱦖󱥿
pakala-lanpan 󱥈󱦖󱦅
pakala-linluwi 󱥈󱦖󱦤
pakala-majuna 󱥈󱦖󱦢
pakala-meso 󱥈󱦖󱦂
pakala-oko 󱥈󱦖󱥺
pakala-su 󱥈󱦖󱦦
pali 󱥉
pali-a 󱥉‍󱤀
pali-akesi 󱥉‍󱤁
pali-ala 󱥉‍󱤂
pali-alasa 󱥉‍󱤃
pali-ale 󱥉‍󱤄
pali-anpa 󱥉‍󱤅
pali-ante 󱥉‍󱤆
pali-anu 󱥉‍󱤇
pali-awen 󱥉‍󱤈
pali-e 󱥉‍󱤉
pali-en 󱥉‍󱤊
pali-esun 󱥉‍󱤋
pali-ijo 󱥉‍󱤌
pali-ike 󱥉‍󱤍
pali-ilo 󱥉‍󱤎
pali-insa 󱥉‍󱤏
pali-jaki 󱥉‍󱤐
pali-jan 󱥉‍󱤑
pali-jelo 󱥉‍󱤒
pali-jo 󱥉‍󱤓
pali-kala 󱥉‍󱤔
