# Generated using a python script
# Convert to a table using `libime_tabledict`
#
# if you wanna use this as your IME, follow the install instructions at https://github.com/mun-luna/nasin-mun
# but make sure to delete the `./nasin-mun/` directory, and rename `./nasin-mun-combos/` to `./nasin-mun/`
# BEFORE using the nix module or the install script
# keep in mind that this is more a proof of concept than anything else, many improvements could be made
#
# all keys are generated in the format of "KeyOne-KeyTwo", if you need to use a particular joiner, navigate using the hint

KeyCode=ptkmnswljaeiou-
Length=15

[Data]
a 󱤀
akesi-sike 󱤁󱦕󱥜
akesi-sin 󱤁󱦕󱥝
akesi-sina 󱤁󱦕󱥞
akesi-sinpin 󱤁󱦕󱥟
akesi-sitelen 󱤁󱦕󱥠
akesi-sona 󱤁󱦕󱥡
akesi-soweli 󱤁󱦕󱥢
akesi-suli 󱤁󱦕󱥣
akesi-suno 󱤁󱦕󱥤
akesi-supa 󱤁󱦕󱥥
akesi-suwi 󱤁󱦕󱥦
akesi-tan 󱤁󱦕󱥧
akesi-taso 󱤁󱦕󱥨
akesi-tawa 󱤁󱦕󱥩
akesi-telo 󱤁󱦕󱥪
akesi-tenpo 󱤁󱦕󱥫
akesi-toki 󱤁󱦕󱥬
akesi-tomo 󱤁󱦕󱥭
akesi-tonsi 󱤁󱦕󱥾
akesi-tu 󱤁󱦕󱥮
akesi-unpa 󱤁󱦕󱥯
akesi-uta 󱤁󱦕󱥰
akesi-utala 󱤁󱦕󱥱
akesi-walo 󱤁󱦕󱥲
akesi-wan 󱤁󱦕󱥳
akesi-waso 󱤁󱦕󱥴
akesi-wawa 󱤁󱦕󱥵
akesi-weka 󱤁󱦕󱥶
akesi-wile 󱤁󱦕󱥷
akesi-kijetesantakalu 󱤁󱦕󱦀
akesi-kipisi 󱤁󱦕󱥻
akesi-ku 󱤁󱦕󱦈
akesi-leko 󱤁󱦕󱥼
akesi-misikeke 󱤁󱦕󱦇
akesi-n 󱤁󱦕󱦆
akesi-namako 󱤁󱦕󱥸
akesi-soko 󱤁󱦕󱦁
akesi-epiku 󱤁󱦕󱦃
akesi-jasima 󱤁󱦕󱥿
akesi-lanpan 󱤁󱦕󱦅
akesi-linluwi 󱤁󱦕󱦤
akesi-majuna 󱤁󱦕󱦢
